2024-06-09 22:11:32 status installed firmware-misc-nonfree:all 1:20161130-3+rpt4
2024-06-09 22:11:32 configure firmware-atheros:all 1:20161130-3+rpt4 <none>
2024-06-09 22:11:32 status unpacked firmware-atheros:all 1:20161130-3+rpt4
2024-06-09 22:11:32 status half-configured firmware-atheros:all 1:20161130-3+rpt4
2024-06-09 22:11:32 status installed firmware-atheros:all 1:20161130-3+rpt4
2024-06-09 22:11:32 trigproc man-db:armhf 2.7.6.1-2 <none>
2024-06-09 22:11:32 status half-configured man-db:armhf 2.7.6.1-2
2024-06-09 22:11:34 status installed man-db:armhf 2.7.6.1-2
2024-06-09 22:11:34 trigproc dbus:armhf 1.10.26-0+deb9u1 <none>
2024-06-09 22:11:34 status half-configured dbus:armhf 1.10.26-0+deb9u1
2024-06-09 22:11:34 status installed dbus:armhf 1.10.26-0+deb9u1
2024-06-09 22:11:34 configure firmware-brcm80211:all 1:20161130-3+rpt4 <none>
2024-06-09 22:11:34 status unpacked firmware-brcm80211:all 1:20161130-3+rpt4
2024-06-09 22:11:34 status half-configured firmware-brcm80211:all 1:20161130-3+rpt4
2024-06-09 22:11:34 status installed firmware-brcm80211:all 1:20161130-3+rpt4
2024-06-09 22:11:34 configure python-rpi.gpio:armhf 0.6.5~stretch-1 <none>
2024-06-09 22:11:34 status unpacked python-rpi.gpio:armhf 0.6.5~stretch-1
2024-06-09 22:11:34 status half-configured python-rpi.gpio:armhf 0.6.5~stretch-1
2024-06-09 22:11:34 status installed python-rpi.gpio:armhf 0.6.5~stretch-1
2024-06-09 22:11:34 configure libraspberrypi0:armhf 1.20190819~stretch-1 <none>
2024-06-09 22:11:34 status unpacked libraspberrypi0:armhf 1.20190819~stretch-1
2024-06-09 22:11:34 status unpacked libraspberrypi0:armhf 1.20190819~stretch-1
2024-06-09 22:11:34 status half-configured libraspberrypi0:armhf 1.20190819~stretch-1
2024-06-09 22:11:35 status installed libraspberrypi0:armhf 1.20190819~stretch-1
2024-06-09 22:11:35 configure libraspberrypi-doc:armhf 1.20190819~stretch-1 <none>
2024-06-09 22:11:35 status unpacked libraspberrypi-doc:armhf 1.20190819~stretch-1
2024-06-09 22:11:35 status half-configured libraspberrypi-doc:armhf 1.20190819~stretch-1
2024-06-09 22:11:35 status installed libraspberrypi-doc:armhf 1.20190819~stretch-1
2024-06-09 22:11:36 configure libraspberrypi-dev:armhf 1.20190819~stretch-1 <none>
2024-06-09 22:11:36 status unpacked libraspberrypi-dev:armhf 1.20190819~stretch-1
2024-06-09 22:11:36 status half-configured libraspberrypi-dev:armhf 1.20190819~stretch-1
2024-06-09 22:11:36 status installed libraspberrypi-dev:armhf 1.20190819~stretch-1
2024-06-09 22:11:36 configure libraspberrypi-bin:armhf 1.20190819~stretch-1 <none>
2024-06-09 22:11:36 status unpacked libraspberrypi-bin:armhf 1.20190819~stretch-1
2024-06-09 22:11:36 status half-configured libraspberrypi-bin:armhf 1.20190819~stretch-1
2024-06-09 22:11:36 status installed libraspberrypi-bin:armhf 1.20190819~stretch-1
2024-06-09 22:11:36 trigproc initramfs-tools:all 0.130 <none>
2024-06-09 22:11:36 status half-configured initramfs-tools:all 0.130
2024-06-09 22:11:36 status installed initramfs-tools:all 0.130
